GeneID	log2(FC)
FBgn0020414	-0.397341766014395
FBgn0041604	0.544636574583465
FBgn0250904	0.970591590080525
FBgn0032330	-0.585725585052162
FBgn0027590	-0.510294427807195
FBgn0011674	0.764478514991208
FBgn0086687	-0.338340429557835
FBgn0026179	0.603153045329795
FBgn0000256	-0.456986730279098
FBgn0001297	-0.413329370261789
FBgn0261444	0.547902932299515
FBgn0020376	-0.951860991575427
FBgn0000286	-0.514757161399811
FBgn0029092	-0.453683480486147
FBgn0029664	0.502202758081889
FBgn0052677	0.910827907938195
FBgn0030052	-0.38137934523338
FBgn0020618	-0.422433525262934
FBgn0004652	-0.556820371241205
FBgn0051361	0.536436754568022
FBgn0033363	-0.781200563094425
FBgn0011710	0.358374117733875
FBgn0011606	0.409094642303658
FBgn0003891	-0.408115826991582
FBgn0003507	-0.415844146068856
FBgn0042094	-0.735775836918424
FBgn0265419	-0.628477022967653
FBgn0262081	0.367873646244188
FBgn0038290	-0.432953713983465
FBgn0051637	-0.417216664581291
FBgn0029114	-0.410024989249965
FBgn0034501	-0.494608547758787
FBgn0023507	-0.45521856755052
FBgn0033268	0.794510578499026
FBgn0035523	0.938127902438264
FBgn0031012	-0.4267877599491
FBgn0010228	0.458743050449587
FBgn0052311	-0.535403697302307
FBgn0026189	0.388057287188847
FBgn0030993	-0.417319947490508
FBgn0028939	-0.950626580466207
FBgn0013548	-0.46915154767334
FBgn0035091	0.503379196384717
FBgn0028331	-0.390921011677295
FBgn0033448	-0.509612341952483
FBgn0035165	0.349538567782879
FBgn0015801	-0.414116226545705
FBgn0031049	0.638524883031647
FBgn0038815	0.62092272637612
FBgn0032400	-0.677470567377049
FBgn0010300	-0.388087224201307
FBgn0033128	-0.507074280163006
FBgn0053556	0.779054621988832
FBgn0000490	0.716029215806146
FBgn0264895	0.692856437143681
FBgn0035710	0.912947715536296
FBgn0033033	-0.375646295846585
FBgn0038049	0.442732533843764
FBgn0015522	-0.733438292505062
FBgn0029002	0.899996581225395
FBgn0035390	0.39366614002055
FBgn0038261	0.912980137694294
FBgn0031268	0.69589601864649
FBgn0030863	0.377195668074493
FBgn0033402	-0.402339165859702
FBgn0003041	0.390984878706012
FBgn0031538	0.574680250642966
FBgn0039869	0.395531231899258
